The Fame Monster,2009-11-23,8,Pop/Rock,23.15,http://cps-static.rovicorp.com/3/JPG_400/MI0003/139/MI0003139570.jpg?partner=allrovi.com,"<p> Initially planned solely as a standard double-disc reissue in the wake of the blockbuster success of <a class=""album-link"" href=""http://www.allmusic.com/album/the-fame-mw0001327294"">The Fame</a> , <a class=""name-link"" href=""http://www.allmusic.com/artist/lady-gaga-mn0000994823"">Lady Gaga</a> decided to release the new material as a separate EP called <a class=""album-link"" href=""http://www.allmusic.com/album/the-fame-monster-mw0001947970"">The Fame Monster</a> in addition to the standard two-CD set, where it_ã_s tacked onto a now standardized version of her debut. It_ã_s a nice move for fans, plus it helps emphasize the new material, which does act as a bridge from the debut to a forthcoming full-length. Everything on <a class=""album-link"" href=""http://www.allmusic.com/album/the-fame-monster-mw0001947970"">The Fame Monster</a> bears a galvanized Eurotrash finish, as evident on the heavy steel synths of _ã–Bad Romance_ãù and the updated <a class=""name-link"" href=""http://www.allmusic.com/artist/abba-mn0000922728"">ABBA</a> revision _ã–Alejandro,_ãù as it is on the rock &amp; roll ballad _ã–Speechless_ãù -- its big guitars lifted from <a class=""name-link"" href=""http://www.allmusic.com/artist/noel-gallagher-mn0000380158"">Noel Gallagher</a> -- and the wonderful, perverse march _ã–Teeth._ãù Even the stuttering splices on _ã–Telephone,_ãù a duet with <a class=""name-link"" href=""http://www.allmusic.com/artist/beyonc%C3%A9-mn0000761179"">Beyoncê©</a> , leans to the other side of the Atlantic, which just emphasizes the otherness that_ã_s become <a class=""name-link"" href=""http://www.allmusic.com/artist/gaga-mn0000994823"">Gaga</a> _ã_s calling card. And even as she_ã_s becoming omnipresent, with her songs mingling with those who co-opt her on the radio, she is still slightly skewed, willing to go so far over the top she goes beyond camp, yet still channeling it through songs that are written, not just hooks. <a class=""album-link"" href=""http://www.allmusic.com/album/the-fame-monster-mw0001947970"">The Fame Monster</a> builds upon those strengths exhibited on <a class=""album-link"" href=""http://www.allmusic.com/album/the-fame-mw0001327294"">The Fame</a> , offering a credible expansion of the debut and suggesting she_ã_s not just a fleeting pop phenomenon. </p>"
The Fame,2008-10-28,13,Pop/Rock,26,http://cps-static.rovicorp.com/3/JPG_400/MI0002/010/MI0002010423.jpg?partner=allrovi.com,"<p> The times were crying out for a pop star like <a class=""name-link"" href=""http://www.allmusic.com/artist/lady-gaga-mn0000994823"">Lady GaGa</a> -- a self-styled, self-made shooting star, one who mocked the tabloid digital age while still wanting to wallow in it -- and one who's smart enough to pull it all off, too. That self-awareness and satire were absent in the pop of the new millennium, where even the best of the lot operated only on one level, which may be why <a class=""name-link"" href=""http://www.allmusic.com/artist/lady-gaga-mn0000994823"">Lady GaGa</a> turned into such a sensation in 2009: everybody was <em>thirsty</em> for music like this, music for and about their lives, both real and virtual. To a certain extent, the reaction to <a class=""album-link"" href=""http://www.allmusic.com/album/the-fame-mw0001327294"">The Fame</a> may have been a little too enthusiastic, with <a class=""name-link"" href=""http://www.allmusic.com/artist/gaga-mn0000994823"">GaGa</a> turning inescapable sometime in the summer of 2009, when she appeared on countless magazine covers while both <a class=""name-link"" href=""http://www.allmusic.com/artist/weezer-mn0000243008"">Weezer</a> and <a class=""name-link"" href=""http://www.allmusic.com/artist/daughtry-mn0000567153"">DAUGHTRY</a> covered _ã–Pokerface,_ãù the rush to attention suggesting that she was the second coming of <a class=""name-link"" href=""http://www.allmusic.com/artist/madonna-mn0000237205"">Madonna</a> , a comparison <a class=""name-link"" href=""http://www.allmusic.com/artist/gaga-mn0000994823"">GaGa</a> cheerfully courts and one that_ã_s accurate if perhaps overextended. Like the marvelous <a class=""name-link"" href=""http://www.allmusic.com/artist/madge-mn0000237205"">Madge</a> , <a class=""name-link"" href=""http://www.allmusic.com/artist/lady-gaga-mn0000994823"">Lady GaGa</a> ushers the underground into the mainstream -- chiefly, a dose of diluted <a class=""name-link"" href=""http://www.allmusic.com/artist/peaches-mn0000752770"">Peaches</a> delivered via a burbling cauldron of electro-disco -- by taming it just enough so it_ã_s given the form of pop yet remains titillating. Sure, <a class=""name-link"" href=""http://www.allmusic.com/artist/gaga-mn0000994823"">GaGa</a> sings of disco sticks, bluffin_ã_ with her muffin, and rough sex, but her provocation doesn_ã_t derive solely from her words: this is music that sounds thickly sexy with its stainless steel synths and dark disco rhythms. Where <a class=""name-link"" href=""http://www.allmusic.com/artist/gaga-mn0000994823"">GaGa</a> excels, and why she crossed over, is how she doesn_ã_t leave all this as a collection of hooks and rhythms, she shapes them into full-blown pop songs, taking the time to let the album breathe with chillout ballads and percolating new wave, like the title track that echoes <a class=""name-link"" href=""http://www.allmusic.com/artist/gwen-stefani-mn0000546214"">Gwen Stefani</a> in dance diva mode. But where <a class=""name-link"" href=""http://www.allmusic.com/artist/gwen-mn0000546214"">Gwen</a> simply celebrates celeb consumer culture, <a class=""name-link"" href=""http://www.allmusic.com/artist/gaga-mn0000994823"">GaGa</a> bites, her litany of runway models, pornographic girls, and body plastic delivered with an undercurrent of disdain, even as she loves all the glitz. This dichotomy propels much of <a class=""album-link"" href=""http://www.allmusic.com/album/the-fame-mw0001327294"">The Fame</a> , particularly on the clever _ã–Paparazzi,_ãù where she casts herself as the photographic parasite chasing after her crush, but none of this meta text would work if the songs didn_ã_t click, functioning simultaneously as glorious pop trash and a wicked parody of it. </p>"
Born This Way,2011-05-23,14,Pop/Rock,23.15,http://cps-static.rovicorp.com/3/JPG_400/MI0003/178/MI0003178069.jpg?partner=allrovi.com,"<p> Not long into the ceaseless promotional parade for <a class=""album-link"" href=""http://www.allmusic.com/album/born-this-way-mw0002132518"">Born This Way</a> , <a class=""name-link"" href=""http://www.allmusic.com/artist/lady-gaga-mn0000994823"">Lady Gaga</a> _ã_s second full-length record and easily the most anticipated record of the 2010s, a certain sense of inevitability crept into play. It was inevitable that <a class=""album-link"" href=""http://www.allmusic.com/album/born-this-way-mw0002132518"">Born This Way</a> would be an escalation of <a class=""album-link"" href=""http://www.allmusic.com/album/the-fame-mw0001327294"">The Fame</a> , it was inevitable that <a class=""name-link"" href=""http://www.allmusic.com/artist/gaga-mn0000994823"">Gaga</a> would go where others feared to tread, it was inevitable that it would be bigger than any other record thrown down in 2011, both in its scale and success. This drumbeat, pulsating as insistently as Eurodisco, is so persistent that there is an inevitable feeling of anticlimax upon hearing <a class=""album-link"" href=""http://www.allmusic.com/album/born-this-way-mw0002132518"">Born This Way</a> for the first time and realizing that <a class=""name-link"" href=""http://www.allmusic.com/artist/lady-gaga-mn0000994823"">Lady Gaga</a> has channeled her grand ambitions into her message, and not her music. <a class=""name-link"" href=""http://www.allmusic.com/artist/gaga-mn0000994823"">Gaga</a> has taken it upon herself to filter out whatever personal details remain in her songs so she can write anthems for her Little Monsters, that ragtag group of queers, misfits, outcasts, and rough kids who she calls her own. <a class=""name-link"" href=""http://www.allmusic.com/artist/gaga-mn0000994823"">Gaga</a> is hardly insincere -- this isn_ã_t an act, she_ã_s been instrumental as a gay rights activist -- but her conquistador stance ironically reduces <a class=""album-link"" href=""http://www.allmusic.com/album/born-this-way-mw0002132518"">Born This Way</a> to a collection of songs about fashion, freaks, and religion, with the occasional respite arriving via German unicorns. </p>"
Do What U Want,2013-10-22,1,Electronic,43.56,http://cps-static.rovicorp.com/3/JPG_400/MI0003/667/MI0003667726.jpg?partner=allrovi.com,
ARTPOP,2013-11-11,15,Pop/Rock,35,http://cps-static.rovicorp.com/3/JPG_400/MI0003/672/MI0003672873.jpg?partner=allrovi.com,"<p> If <a class=""album-link"" href=""http://www.allmusic.com/album/born-this-way-mw0002132518"">Born This Way</a> was made for the Little Monsters, its 2013 sequel <a class=""album-link"" href=""http://www.allmusic.com/album/artpop-mw0002573777"">ARTPOP</a> was made for the world. <a class=""name-link"" href=""http://www.allmusic.com/artist/lady-gaga-mn0000994823"">Lady Gaga</a> has grand designs for her third album, to pull a ""reverse Warhol,"" which presumably means she wants to channel high art into pop instead of pop into high art, but it's a little difficult to discern <a class=""name-link"" href=""http://www.allmusic.com/artist/gaga-mn0000994823"">Gaga</a> 's intent, either in this statement or <a class=""album-link"" href=""http://www.allmusic.com/album/artpop-mw0002573777"">ARTPOP</a> as a whole. Willfully existing simply on the surface, a surface that perhaps (or perhaps not) signifies a greater depth, <a class=""album-link"" href=""http://www.allmusic.com/album/artpop-mw0002573777"">ARTPOP</a> is teasingly garish, its bright colors and brittle beats attacking with glee, the emphasis always on big, pulsating beats, shattered reflections, and sound cascading over song in every instance. Inevitably, this emphasis on production means the pop in <a class=""album-link"" href=""http://www.allmusic.com/album/artpop-mw0002573777"">ARTPOP</a> winds up diminished; perhaps it's ""pop"" in the pop-art sense, as it's shamelessly intentionally populist, but as pop music it's stiff, relying not on hooks in either its melody or rhythm, but rather a full-on glitz blitz that can dazzle as often as it tires. Lost in her self-generated mythos, <a class=""name-link"" href=""http://www.allmusic.com/artist/gaga-mn0000994823"">Gaga</a> doesn't much care whether her music sticks as long as she's not ignored -- even such seemingly soul-baring moments as the single-spotlight showcase ""Dope"" aren't confessional so much as gear shifts designed to capture attention -- and <a class=""album-link"" href=""http://www.allmusic.com/album/artpop-mw0002573777"">ARTPOP</a> continually demands attention as it eschews the notion of love, right down to how all the sex songs deliberately separate the body from the soul. This isn't limited to <a class=""name-link"" href=""http://www.allmusic.com/artist/gaga-mn0000994823"">Gaga</a> 's exhortation to <a class=""name-link"" href=""http://www.allmusic.com/artist/r-kelly-mn0000319347"">R. Kelly</a> to ""do what you want with my body"" on ""Do What U Want,"" either. At times -- particularly through the album's first half -- <a class=""album-link"" href=""http://www.allmusic.com/album/artpop-mw0002573777"">ARTPOP</a> is a non-stop erotic cabaret, <a class=""name-link"" href=""http://www.allmusic.com/artist/gaga-mn0000994823"">Gaga</a> contorting herself to fulfill any desire, switching roles between a guy and a girl, and a bottom and a top, her ambidextrous sexuality signaling power, not sensuality. This same arrogance glides her through songs about style -- the ludicrous ""Donatella,"" a tribute to Versace that borders on character assassination; ""Fashion!,"" which isn't a <a class=""name-link"" href=""http://www.allmusic.com/artist/david-bowie-mn0000531986"">David Bowie</a> cover, no matter how much it longs to be -- and through the songs about drugs, a cycle that takes her toward a concluding coda where <a class=""name-link"" href=""http://www.allmusic.com/artist/gaga-mn0000994823"">Gaga</a> stands resplendent in the applause. The concept is artful and logical, yet <a class=""album-link"" href=""http://www.allmusic.com/album/artpop-mw0002573777"">ARTPOP</a> never insinuates or settles in the subconscious; it always assaults, determined to make an impression even when all it has to say is that it doesn't have much to say. </p>"
She Wolf,2009-11-23,13,"Latin,Pop/Rock,R&B,",33,http://cps-static.rovicorp.com/3/JPG_400/MI0002/915/MI0002915675.jpg?partner=allrovi.com,"<p> Last time around, <a class=""name-link"" href=""http://www.allmusic.com/artist/shakira-mn0000790797"">Shakira</a> touched upon so many styles she couldn_ã_t be contained on one album, splitting <a class=""album-link"" href=""http://www.allmusic.com/album/oral-fixation-mw0000773317"">Oral Fixation</a> in two. This time, she focuses on one sound only: a pulsating electro-disco that crosses all boundaries and welcomes all nationalities. Such concentration behooves <a class=""name-link"" href=""http://www.allmusic.com/artist/shakira-mn0000790797"">Shakira</a> , freeing her to release her inner <a class=""album-link"" href=""http://www.allmusic.com/album/she-wolf-mw0001762399"">She Wolf</a> , a wild wacko who_ã_s as cuckoo as she is carnal. And for as sexy as <a class=""name-link"" href=""http://www.allmusic.com/artist/shakira-mn0000790797"">Shakira</a> is -- crucially, her music is sexy too -- what really gives <a class=""album-link"" href=""http://www.allmusic.com/album/she-wolf-mw0001762399"">She Wolf</a> its bite is her inspired nuttiness, how she laments that Matt Damon_ã_s not meant for her, and wishes her ex-lover and his new girl a horrible vacation where the room smells and the toilet doesn_ã_t flush. _ã–Darling, it is no joke, this is lycanthropy,_ãù she sings on the title track with no small trace of humor, and this blend of cheerful weirdness and sick beats -- often supplied by <a class=""name-link"" href=""http://www.allmusic.com/artist/the-neptunes-mn0000401903"">the Neptunes</a> , delivering tough, sensual rhythms in a way they haven_ã_t in a long time, but also <a class=""name-link"" href=""http://www.allmusic.com/artist/john-hill-mn0002355320"">John Hill</a> and <a class=""name-link"" href=""http://www.allmusic.com/artist/wyclef-jean-mn0000583161"">Wyclef Jean</a> -- is giddily addicting, a celebration of all the strange sensuality that comes out at night. </p>"
One Kind Favor,2008-08-26,12,"Blues,",15.2,http://cps-static.rovicorp.com/3/JPG_400/MI0000/812/MI0000812177.jpg?partner=allrovi.com,"<p> It's been so long since <a class=""name-link"" href=""http://www.allmusic.com/artist/bb-king-mn0000059156"">B.B. King</a> stepped outside of his comfort zone that <a class=""album-link"" href=""http://www.allmusic.com/album/one-kind-favor-mw0000794719"">One Kind Favor</a> comes as a bit of a shock. Unlike so many albums he's cut in the wake of the crossover success of <a class=""album-link"" href=""http://www.allmusic.com/album/the-thrill-is-gone-mw0000613789"">The Thrill Is Gone</a> way back in 1970, the sound is stripped-back, not splashy, there is not a reliance on guest stars, and the repertoire is pure blues -- and these are all songs that he's never recorded before, including three tunes by his longtime idol <a class=""name-link"" href=""http://www.allmusic.com/artist/lonnie-johnson-mn0000275401"">Lonnie Johnson</a> . Credit for the concept must be given to producer <a class=""name-link"" href=""http://www.allmusic.com/artist/t-bone-burnett-mn0000743615"">T Bone Burnett</a> , who applies a similar neo-rootsy aesthetic to <a class=""album-link"" href=""http://www.allmusic.com/album/one-kind-favor-mw0000794719"">One Kind Favor</a> that he did to his production of <a class=""name-link"" href=""http://www.allmusic.com/artist/robert-plant-mn0000830538"">Robert Plant</a> and <a class=""name-link"" href=""http://www.allmusic.com/artist/alison-krauss-mn0000745071"">Alison Krauss</a> ' <a class=""album-link"" href=""http://www.allmusic.com/album/raising-sand-mw0000748589"">Raising Sand</a> -- an approach that's grounded in tradition but has a smoky, smeary veneer that's thoroughly modern. <a class=""album-link"" href=""http://www.allmusic.com/album/one-kind-favor-mw0000794719"">One Kind Favor</a> has a noir-ish flair but it doesn't dwell on darkness, even if it takes its title from a line in <a class=""name-link"" href=""http://www.allmusic.com/artist/blind-lemon-jefferson-mn0000050205"">Blind Lemon Jefferson</a> 's ""See That My Grave Is Kept Clean,"" a song that would seem to carry some import for the 82-year-old <a class=""name-link"" href=""http://www.allmusic.com/artist/king-mn0000059156"">King</a> . He may be approaching his twilight years but brooding has never been <a class=""name-link"" href=""http://www.allmusic.com/artist/bb-mn0000059156"">B.B.</a> 's style -- he's too generous, too open-hearted in both love and loss, so he's naturally disinclined to turn this album into a meditation on morality. Instead, <a class=""album-link"" href=""http://www.allmusic.com/album/one-kind-favor-mw0000794719"">One Kind Favor</a> is a celebration of life with all of its ups and downs, filled with heartbreak but also great joy, which is precisely what <a class=""name-link"" href=""http://www.allmusic.com/artist/bb-king-mn0000059156"">B.B. King</a> 's best music always has been. And this is indeed one of <a class=""name-link"" href=""http://www.allmusic.com/artist/king-mn0000059156"">King</a> 's best latter-day albums, thanks to its sterling selection of 12 songs and the supple support of drummer <a class=""name-link"" href=""http://www.allmusic.com/artist/jim-keltner-mn0000849333"">Jim Keltner</a> , pianist <a class=""name-link"" href=""http://www.allmusic.com/artist/dr-john-mn0000205180"">Dr. John</a> , and bassist <a class=""name-link"" href=""http://www.allmusic.com/artist/nathan-east-mn0000317169"">Nathan East</a> , who give <a class=""name-link"" href=""http://www.allmusic.com/artist/bb-mn0000059156"">B.B.</a> plenty of room for both his guitar and voice. Even if <a class=""name-link"" href=""http://www.allmusic.com/artist/king-mn0000059156"">King</a> winds up returning to his familiar slick, star-studded sound somewhere down the line, having an album as earthily elegant as <a class=""album-link"" href=""http://www.allmusic.com/album/one-kind-favor-mw0000794719"">One Kind Favor</a> in his canon provides a fitting coda for one of the great musical careers of the 20th century. </p>"
Makin' Love Is Good for You,2000-04-25,14,"Blues,Pop/Rock,",22,http://cps-static.rovicorp.com/3/JPG_400/MI0002/163/MI0002163712.jpg?partner=allrovi.com,"<p> Over the years, the music world has seen its share of over-70 singers who kept performing even though they didn't have much of a voice left: Peggy Lee and <a class=""name-link"" href=""http://www.allmusic.com/artist/frank-sinatra-mn0000792507"">Frank Sinatra</a> are among the names that come to mind. But when <a class=""name-link"" href=""http://www.allmusic.com/artist/bb-king-mn0000059156"">B.B. King</a> entered his 70s, the veteran blues singer/guitarist could still belt it out with confidence, and he does exactly that on <a class=""album-link"" href=""http://www.allmusic.com/album/makin-love-is-good-for-you-mw0000061470"">Makin' Love Is Good for You</a> , which was recorded when <a class=""name-link"" href=""http://www.allmusic.com/artist/king-mn0000059156"">King</a> was 74. Although this blues/soul effort won't go down in history as one of his all-time classics, it's a respectable CD that finds his voice continuing to hold up well. <a class=""name-link"" href=""http://www.allmusic.com/artist/king-mn0000059156"">King</a> 's charisma remains, and he has no problem getting his points across on 12-bar blues numbers like ""Ain't Nobody Like My Baby,"" ""I Got to Leave This Woman,"" and <a class=""name-link"" href=""http://www.allmusic.com/artist/willie-dixon-mn0000959770"">Willie Dixon</a> 's ""Don't Go No Farther,"" as well as soul offerings such as the title song and an interpretation of <a class=""name-link"" href=""http://www.allmusic.com/artist/barbara-george-mn0000122891"">Barbara George</a> 's 1961 hit ""I Know."" Because <a class=""name-link"" href=""http://www.allmusic.com/artist/king-mn0000059156"">King</a> has such a huge catalog, one could spend a fortune trying to acquire every title that he has out on CD. So unless you you're a serious collector and have a large budget, it's best to stick to his more essential recordings; and <a class=""album-link"" href=""http://www.allmusic.com/album/makin-love-is-good-for-you-mw0000061470"">Makin' Love Is Good for You</a> , although decent and respectable, isn't essential and isn't as interesting as 1999's <a class=""album-link"" href=""http://www.allmusic.com/album/let-the-good-times-roll-the-music-of-louis-jordan-mw0000669417"">Let the Good Times Roll: The Music of Louis Jordan</a> . Nonetheless, it can be an enjoyable addition to your blues library if you're among <a class=""name-link"" href=""http://www.allmusic.com/artist/king-mn0000059156"">King</a> 's diehard fans. </p>"
Live at the Regal,2009-11-24,10,"Blues,R&B,",23.15,http://cps-static.rovicorp.com/3/JPG_400/MI0002/488/MI0002488779.jpg?partner=allrovi.com,"<p>B.B. King is not only a timeless singer and guitarist, he's also a natural-born entertainer, and on Live at the Regal the listener is treated to an exhibition of all three of his talents. Over percolating horn hits and rolling shuffles, King treats an enthusiastic audience (at some points, they shriek after he delivers each line) to a collection of some of his greatest hits. The backing band is razor-sharp, picking up the leader's cues with almost telepathic accuracy. King's voice is rarely in this fine of form, shifting effortlessly between his falsetto and his regular range, hitting the microphone hard for gritty emphasis and backing off in moments of almost intimate tenderness. Nowhere is this more evident than at the climax of ""How Blue Can You Get,"" where the Chicago venue threatens to explode at King's prompting. Of course, the master's guitar is all over this record, and his playing here is among the best in his long career. Displaying a jazz sensibility, King's lines are sophisticated without losing their grit. More than anything else, Live at the Regal is a textbook example of how to set up a live performance. Talking to the crowd, setting up the tunes with a vignette, King is the consummate entertainer. Live at the Regal is an absolutely necessary acquisition for fans of B.B. King or blues music in general. A high point, perhaps even the high point, for uptown blues.</p>"
Live,2008-02-19,12,"Blues,",23.15,http://cps-static.rovicorp.com/3/JPG_400/MI0002/489/MI0002489587.jpg?partner=allrovi.com,"<p> Recorded in the fall of 2006, shortly after <a class=""name-link"" href=""http://www.allmusic.com/artist/bb-king-mn0000059156"">B.B. King</a> 's 81st birthday, <a class=""album-link"" href=""http://www.allmusic.com/album/live-mw0000580180"">Live</a> is really an abridged audio complement to a video release, containing 12 of the 19 tracks available on the DVD of the same title. <a class=""name-link"" href=""http://www.allmusic.com/artist/king-mn0000059156"">King</a> has made a lot of live albums in his time, but his approach hasn't changed much over the years. In addition to his obvious talents as a guitarist and showman, he has also been fortunate in that his chosen style of music, a version of the blues growing out of the swing-influenced jump blues of the 1940s, has not only remained perennially popular but grown in acceptance. As performed here by <a class=""name-link"" href=""http://www.allmusic.com/artist/the-bb-king-blues-band-mn0002089320"">the B.B. King Blues Band</a> , it is still essentially the same, a jazzy roadhouse music that leaves plenty of room for solos. At one time, most of those solos were played by <a class=""name-link"" href=""http://www.allmusic.com/artist/king-mn0000059156"">King</a> on his guitar, but now he is content to give the showcase to his horn players, as he does on ""Blues Man,"" or organist <a class=""name-link"" href=""http://www.allmusic.com/artist/james-toney-mn0001469474"">James Toney</a> , who claims the lion's share of ""Rock Me Baby."" There is still plenty of guitar work, however, and <a class=""name-link"" href=""http://www.allmusic.com/artist/king-mn0000059156"">King</a> remains seemingly as agile as ever. He is also a relaxed, comfortable frontman, engaging in easy banter with both band and audience. And he even seems at peace with the notion that the road can't go on forever. ""Key to the Highway"" has something of an elegiac tone, and it ends with a promise that for <a class=""name-link"" href=""http://www.allmusic.com/artist/king-mn0000059156"">King</a> seems to be no more than a simple statement of fact: ""I'm gonna do this till I die, folks."" </p>"
