Red,10/22/12,22,10/22/12,Taylor Alison,Swift,Taylor Swift
Tour Fijaci’_n Oral,11/24/09,Antolog’_a,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,Bonus Materials,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,"Ciega, Sordomuda",11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,D’_a de Enero,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,Don't Bother,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,Estoy Aqu’_,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,Hey You,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,Hips Don't Lie,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,Inevitable,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,Intro,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,La Pared,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,La Tortura,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,Las de La Intuici’_n,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,No,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,Obtener un S’_,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,Ojos As’_,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,Pies Descalzos,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,Si Te Vas,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,Te Dejo Madrid,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,Underneath Your Clothes,11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tour Fijaci’_n Oral,11/24/09,"Whenever, Wherever",11/24/09,Shakira Isabel,Mebarak Ripoll,Shakira
Tomahawk Technique,1/30/12,Body,1/30/12,Sean Paul Ryan Francis,Henriques,Sean Paul
Tomahawk Technique,1/30/12,Dream Girl,1/30/12,Sean Paul Ryan Francis,Henriques,Sean Paul
Tomahawk Technique,1/30/12,Got 2 Luv U,1/30/12,Sean Paul Ryan Francis,Henriques,Sean Paul
Tomahawk Technique,1/30/12,Hold On,1/30/12,Sean Paul Ryan Francis,Henriques,Sean Paul
Tomahawk Technique,1/30/12,How Deep Is Your Love,1/30/12,Sean Paul Ryan Francis,Henriques,Sean Paul
Tomahawk Technique,1/30/12,Put It on You,1/30/12,Sean Paul Ryan Francis,Henriques,Sean Paul
Tomahawk Technique,1/30/12,Roll Wid di Don,1/30/12,Sean Paul Ryan Francis,Henriques,Sean Paul
Tomahawk Technique,1/30/12,She Doesn't Mind,1/30/12,Sean Paul Ryan Francis,Henriques,Sean Paul
Tomahawk Technique,1/30/12,Touch the Sky,1/30/12,Sean Paul Ryan Francis,Henriques,Sean Paul
Tomahawk Technique,1/30/12,Wedding Crashers,1/30/12,Sean Paul Ryan Francis,Henriques,Sean Paul
Tomahawk Technique,1/30/12,What I Want,1/30/12,Sean Paul Ryan Francis,Henriques,Sean Paul
Tomahawk Technique,1/30/12,Won't Stop (Turn Me Out),1/30/12,Sean Paul Ryan Francis,Henriques,Sean Paul
The Union,10/19/10,A Dream Come True,10/19/10,Reginald Kenneth,Dwight,Elton John
The Union,10/19/10,Eight Hundred Dollar Shoes,10/19/10,Reginald Kenneth,Dwight,Elton John
The Union,10/19/10,Gone to Shiloh,10/19/10,Reginald Kenneth,Dwight,Elton John
The Union,10/19/10,Hearts Have Turned to Stone,10/19/10,Reginald Kenneth,Dwight,Elton John
The Union,10/19/10,Hey Ahab,10/19/10,Reginald Kenneth,Dwight,Elton John
The Union,10/19/10,I Should Have Sent Roses,10/19/10,Reginald Kenneth,Dwight,Elton John
